area_name,year,quarter,time_period,rent_growth,population_growth,housing_completions,rent_level,ppi_dublin_all,ppi_nat_ex_dublin_all,ppi_national_all,mortgage_loan_book_n,arrears_90d_n,arrears_720d_n,arrears_90d_rate,arrears_720d_rate
Limerick,2023,2,2023Q2,7.75122549,1.924001924,442.7408063,1291.57,30.141666666666666,34.55833333333334,33.858333333333334,395.0,68.0,30.0,0.17215189873417722,0.0759493670886076
Limerick,2023,3,2023Q3,7.831627115,1.924001924,514.0404347,1291.57,31.133333333333336,35.199999999999996,34.666666666666664,396.0,70.0,27.0,0.17676767676767677,0.06818181818181818
Limerick,2023,4,2023Q4,9.399601003,1.924001924,566.4325483,1291.57,33.375,36.725,36.55833333333333,393.0,67.0,31.0,0.17048346055979643,0.07888040712468193
Limerick,2024,1,2024Q1,11.35683633,2.45398773,398.8265784,1445.62,35.225,37.55833333333333,37.85,393.0,67.0,31.0,,
Limerick,2024,2,2024Q2,13.22316814,2.45398773,414.0440782,1445.62,35.875,38.53333333333333,38.708333333333336,393.0,67.0,31.0,,
Limerick,2024,3,2024Q3,13.0117627,2.45398773,542.005259,1445.62,38.06666666666667,40.075,40.55,393.0,67.0,31.0,,
Limerick,2024,4,2024Q4,13.09190514,2.45398773,482.4770834,1445.62,38.041666666666664,41.075,41.166666666666664,393.0,67.0,31.0,,
Limerick,2025,1,2025Q1,15.82644343,1.381851681,408.8597596,1445.62,37.0,41.025,40.666666666666664,393.0,67.0,31.0,,
Limerick,2025,2,2025Q2,13.58962996,1.381851681,561.6751736,1445.62,37.61666666666667,41.725,41.34166666666667,393.0,67.0,31.0,,
Limerick,2025,3,2025Q3,13.60764698,1.381851681,560.241862,1445.62,38.31666666666667,43.416666666666664,42.625,393.0,67.0,31.0,,
Longford,2018,1,2018Q1,11.45537294,1.431980907,613.7955814,579.66,29.358333333333334,27.108333333333334,29.141666666666666,251.0,84.0,47.0,0.3346613545816733,0.18725099601593626
Longford,2018,2,2018Q2,10.03721074,1.431980907,613.7955814,579.66,29.28333333333333,29.025000000000002,30.066666666666666,258.0,82.0,47.0,0.3178294573643411,0.1821705426356589
