"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Transportation and storage (H)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Accommodation and food service activities (I)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Information and communication (J)","Euro","300034"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Professional, scientific and technical activities (M)","Euro","296236"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Administrative and support service activities (N)","Euro","302935"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Public administration and defence; compulsory social security (O)","Euro","253195"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Education (P)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Human health and social work activities (Q)","Euro","264272"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Industry (B to E)","Euro","296307"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Financial, insurance and real estate activities (K,L)","Euro","297714"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","278253"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","All NACE economic sectors","Euro","316811"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Construction (F)","Euro","343139"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","323357"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Transportation and storage (H)","Euro","298870"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Accommodation and food service activities (I)","Euro","297527"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Information and communication (J)","Euro","323255"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Professional, scientific and technical activities (M)","Euro","333771"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Administrative and support service activities (N)","Euro","338904"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Public administration and defence; compulsory social security (O)","Euro","267495"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Education (P)","Euro","309280"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Human health and social work activities (Q)","Euro","289215"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Industry (B to E)","Euro","324033"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","336320"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","344600"
