"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Dublin","Thousand","40.3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Galway","Thousand","8.9"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Kildare","Thousand","9"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Kilkenny","Thousand","3.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Kerry","Thousand","4.9"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Longford","Thousand","1.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Louth","Thousand","5"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Limerick","Thousand","6.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Leitrim","Thousand","1.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Laois","Thousand","3.5"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Meath","Thousand","8.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Monaghan","Thousand","2.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Mayo","Thousand","4.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Offaly","Thousand","3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Roscommon","Thousand","2.3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Sligo","Thousand","2.3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Tipperary","Thousand","5.8"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Waterford","Thousand","4.3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Wicklow","Thousand","5.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Westmeath","Thousand","3.3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Wexford","Thousand","5.8"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Ireland","Thousand","158.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Clare","Thousand","4.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Cork","Thousand","17.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Cavan","Thousand","2.9"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Carlow","Thousand","2.1"
