"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2017 January","Dun Laoghaire-Rathdown - houses","Base 2015=100","112.2"
"Residential Property Price Index","2017 January","Fingal - houses","Base 2015=100","103.1"
"Residential Property Price Index","2017 January","South Dublin - houses","Base 2015=100","106.8"
"Residential Property Price Index","2017 January","National excluding Dublin - all residential properties","Base 2015=100","117.1"
"Residential Property Price Index","2017 January","National excluding Dublin - houses","Base 2015=100","116.7"
"Residential Property Price Index","2017 January","National excluding Dublin - apartments","Base 2015=100","122"
"Residential Property Price Index","2017 January","Border - houses","Base 2015=100","114.2"
"Residential Property Price Index","2017 January","Midland - houses","Base 2015=100","121.9"
"Residential Property Price Index","2017 January","West - houses","Base 2015=100","121.9"
"Residential Property Price Index","2017 January","Mid-East - houses","Base 2015=100","113.2"
"Residential Property Price Index","2017 January","Mid-West - houses","Base 2015=100","115.2"
"Residential Property Price Index","2017 January","South-East - houses","Base 2015=100","120.7"
"Residential Property Price Index","2017 January","South-West - houses","Base 2015=100","117.9"
"Residential Property Price Index","2017 February","National - all residential properties","Base 2015=100","113.3"
"Residential Property Price Index","2017 February","National - houses","Base 2015=100","113.2"
"Residential Property Price Index","2017 February","National - apartments","Base 2015=100","113.3"
"Residential Property Price Index","2017 February","Dublin - all residential properties","Base 2015=100","109.3"
"Residential Property Price Index","2017 February","Dublin - houses","Base 2015=100","109.1"
"Residential Property Price Index","2017 February","Dublin - apartments","Base 2015=100","110.2"
"Residential Property Price Index","2017 February","Dublin City - houses","Base 2015=100","109.1"
"Residential Property Price Index","2017 February","Dun Laoghaire-Rathdown - houses","Base 2015=100","112.3"
"Residential Property Price Index","2017 February","Fingal - houses","Base 2015=100","104.4"
"Residential Property Price Index","2017 February","South Dublin - houses","Base 2015=100","107"
"Residential Property Price Index","2017 February","National excluding Dublin - all residential properties","Base 2015=100","117.5"
"Residential Property Price Index","2017 February","National excluding Dublin - houses","Base 2015=100","117"
"Residential Property Price Index","2017 February","National excluding Dublin - apartments","Base 2015=100","123.4"
"Residential Property Price Index","2017 February","Border - houses","Base 2015=100","118.1"
"Residential Property Price Index","2017 February","Midland - houses","Base 2015=100","121.4"
"Residential Property Price Index","2017 February","West - houses","Base 2015=100","123.3"
"Residential Property Price Index","2017 February","Mid-East - houses","Base 2015=100","114.4"
"Residential Property Price Index","2017 February","Mid-West - houses","Base 2015=100","115"
"Residential Property Price Index","2017 February","South-East - houses","Base 2015=100","121"
"Residential Property Price Index","2017 February","South-West - houses","Base 2015=100","117.2"
"Residential Property Price Index","2017 March","National - all residential properties","Base 2015=100","113.8"
"Residential Property Price Index","2017 March","National - houses","Base 2015=100","113.8"
"Residential Property Price Index","2017 March","National - apartments","Base 2015=100","113.6"
"Residential Property Price Index","2017 March","Dublin - all residential properties","Base 2015=100","110"
"Residential Property Price Index","2017 March","Dublin - houses","Base 2015=100","110.1"
"Residential Property Price Index","2017 March","Dublin - apartments","Base 2015=100","110"
"Residential Property Price Index","2017 March","Dublin City - houses","Base 2015=100","109.9"
"Residential Property Price Index","2017 March","Dun Laoghaire-Rathdown - houses","Base 2015=100","112.7"
"Residential Property Price Index","2017 March","Fingal - houses","Base 2015=100","105.7"
"Residential Property Price Index","2017 March","South Dublin - houses","Base 2015=100","108"
"Residential Property Price Index","2017 March","National excluding Dublin - all residential properties","Base 2015=100","117.7"
"Residential Property Price Index","2017 March","National excluding Dublin - houses","Base 2015=100","117.1"
"Residential Property Price Index","2017 March","National excluding Dublin - apartments","Base 2015=100","125.1"
"Residential Property Price Index","2017 March","Border - houses","Base 2015=100","117.4"
"Residential Property Price Index","2017 March","Midland - houses","Base 2015=100","124.6"
"Residential Property Price Index","2017 March","West - houses","Base 2015=100","121.8"
"Residential Property Price Index","2017 March","Mid-East - houses","Base 2015=100","114.8"
"Residential Property Price Index","2017 March","Mid-West - houses","Base 2015=100","114.2"
"Residential Property Price Index","2017 March","South-East - houses","Base 2015=100","120.7"
"Residential Property Price Index","2017 March","South-West - houses","Base 2015=100","118.9"
"Residential Property Price Index","2017 April","National - all residential properties","Base 2015=100","114.2"
"Residential Property Price Index","2017 April","National - houses","Base 2015=100","114.2"
"Residential Property Price Index","2017 April","National - apartments","Base 2015=100","113.7"
"Residential Property Price Index","2017 April","Dublin - all residential properties","Base 2015=100","109.2"
"Residential Property Price Index","2017 April","Dublin - houses","Base 2015=100","109.3"
"Residential Property Price Index","2017 April","Dublin - apartments","Base 2015=100","108.9"
"Residential Property Price Index","2017 April","Dublin City - houses","Base 2015=100","108.9"
"Residential Property Price Index","2017 April","Dun Laoghaire-Rathdown - houses","Base 2015=100","111.8"
"Residential Property Price Index","2017 April","Fingal - houses","Base 2015=100","106.4"
"Residential Property Price Index","2017 April","South Dublin - houses","Base 2015=100","109.6"
"Residential Property Price Index","2017 April","National excluding Dublin - all residential properties","Base 2015=100","119.5"
"Residential Property Price Index","2017 April","National excluding Dublin - houses","Base 2015=100","118.8"
"Residential Property Price Index","2017 April","National excluding Dublin - apartments","Base 2015=100","128.5"
"Residential Property Price Index","2017 April","Border - houses","Base 2015=100","117.4"
"Residential Property Price Index","2017 April","Midland - houses","Base 2015=100","126.8"
"Residential Property Price Index","2017 April","West - houses","Base 2015=100","123.9"
"Residential Property Price Index","2017 April","Mid-East - houses","Base 2015=100","116.1"
"Residential Property Price Index","2017 April","Mid-West - houses","Base 2015=100","114.7"
"Residential Property Price Index","2017 April","South-East - houses","Base 2015=100","120.7"
"Residential Property Price Index","2017 April","South-West - houses","Base 2015=100","120.3"
"Residential Property Price Index","2017 May","National - all residential properties","Base 2015=100","115.9"
"Residential Property Price Index","2017 May","National - houses","Base 2015=100","115.7"
"Residential Property Price Index","2017 May","National - apartments","Base 2015=100","115.8"
"Residential Property Price Index","2017 May","Dublin - all residential properties","Base 2015=100","112"
"Residential Property Price Index","2017 May","Dublin - houses","Base 2015=100","111.7"
"Residential Property Price Index","2017 May","Dublin - apartments","Base 2015=100","112.3"
"Residential Property Price Index","2017 May","Dublin City - houses","Base 2015=100","110.5"
"Residential Property Price Index","2017 May","Dun Laoghaire-Rathdown - houses","Base 2015=100","113.1"
"Residential Property Price Index","2017 May","Fingal - houses","Base 2015=100","108.5"
"Residential Property Price Index","2017 May","South Dublin - houses","Base 2015=100","110.4"
"Residential Property Price Index","2017 May","National excluding Dublin - all residential properties","Base 2015=100","120"
"Residential Property Price Index","2017 May","National excluding Dublin - houses","Base 2015=100","119.3"
"Residential Property Price Index","2017 May","National excluding Dublin - apartments","Base 2015=100","129"
"Residential Property Price Index","2017 May","Border - houses","Base 2015=100","119.2"
"Residential Property Price Index","2017 May","Midland - houses","Base 2015=100","125.4"
"Residential Property Price Index","2017 May","West - houses","Base 2015=100","123.9"
"Residential Property Price Index","2017 May","Mid-East - houses","Base 2015=100","115.6"
"Residential Property Price Index","2017 May","Mid-West - houses","Base 2015=100","115.5"
"Residential Property Price Index","2017 May","South-East - houses","Base 2015=100","121.6"
"Residential Property Price Index","2017 May","South-West - houses","Base 2015=100","122"
"Residential Property Price Index","2017 June","National - all residential properties","Base 2015=100","117.5"
"Residential Property Price Index","2017 June","National - houses","Base 2015=100","117.4"
"Residential Property Price Index","2017 June","National - apartments","Base 2015=100","116.5"
"Residential Property Price Index","2017 June","Dublin - all residential properties","Base 2015=100","114.1"
"Residential Property Price Index","2017 June","Dublin - houses","Base 2015=100","113.8"
"Residential Property Price Index","2017 June","Dublin - apartments","Base 2015=100","114"
"Residential Property Price Index","2017 June","Dublin City - houses","Base 2015=100","113.1"
"Residential Property Price Index","2017 June","Dun Laoghaire-Rathdown - houses","Base 2015=100","113.8"
"Residential Property Price Index","2017 June","Fingal - houses","Base 2015=100","109.3"
"Residential Property Price Index","2017 June","South Dublin - houses","Base 2015=100","111.8"
"Residential Property Price Index","2017 June","National excluding Dublin - all residential properties","Base 2015=100","120.9"
"Residential Property Price Index","2017 June","National excluding Dublin - houses","Base 2015=100","120.6"
"Residential Property Price Index","2017 June","National excluding Dublin - apartments","Base 2015=100","127"
"Residential Property Price Index","2017 June","Border - houses","Base 2015=100","119"
"Residential Property Price Index","2017 June","Midland - houses","Base 2015=100","128.5"
"Residential Property Price Index","2017 June","West - houses","Base 2015=100","125.8"
"Residential Property Price Index","2017 June","Mid-East - houses","Base 2015=100","116.5"
"Residential Property Price Index","2017 June","Mid-West - houses","Base 2015=100","116.8"
"Residential Property Price Index","2017 June","South-East - houses","Base 2015=100","121.6"
"Residential Property Price Index","2017 June","South-West - houses","Base 2015=100","122.5"
"Residential Property Price Index","2017 July","National - all residential properties","Base 2015=100","120.4"
"Residential Property Price Index","2017 July","National - houses","Base 2015=100","120.3"
"Residential Property Price Index","2017 July","National - apartments","Base 2015=100","118.8"
"Residential Property Price Index","2017 July","Dublin - all residential properties","Base 2015=100","116.7"
"Residential Property Price Index","2017 July","Dublin - houses","Base 2015=100","116.3"
"Residential Property Price Index","2017 July","Dublin - apartments","Base 2015=100","116.9"
