"STATISTIC Label","Year","Eircode Output","UNIT","VALUE"
"New Dwelling Completions","2018","A91: Dundalk","Number","295"
"New Dwelling Completions","2018","A92: Drogheda","Number","603"
"New Dwelling Completions","2018","A94: Blackrock","Number","92"
"New Dwelling Completions","2018","A96: Glenageary","Number","535"
"New Dwelling Completions","2018","A98: Bray","Number","36"
"New Dwelling Completions","2018","C15: Navan","Number","521"
"New Dwelling Completions","2018","D01: Dublin 1","Number","29"
"New Dwelling Completions","2018","D02: Dublin 2","Number","221"
"New Dwelling Completions","2018","D03: Dublin 3","Number","92"
"New Dwelling Completions","2018","D04: Dublin 4","Number","59"
"New Dwelling Completions","2018","D05: Dublin 5","Number","92"
"New Dwelling Completions","2018","D06: Dublin 6","Number","172"
"New Dwelling Completions","2018","D07: Dublin 7","Number","71"
"New Dwelling Completions","2018","D08: Dublin 8","Number","165"
"New Dwelling Completions","2018","D09: Dublin 9","Number","233"
"New Dwelling Completions","2018","D10: Dublin 10","Number","122"
"New Dwelling Completions","2018","D11: Dublin 11","Number","234"
"New Dwelling Completions","2018","D12: Dublin 12","Number","97"
"New Dwelling Completions","2018","D13: Dublin 13","Number","397"
"New Dwelling Completions","2018","D14: Dublin 14","Number","272"
"New Dwelling Completions","2018","D15: Dublin 15","Number","795"
"New Dwelling Completions","2018","D16: Dublin 16","Number","219"
"New Dwelling Completions","2018","D17: Dublin 17","Number","52"
"New Dwelling Completions","2018","D18: Dublin 18","Number","369"
"New Dwelling Completions","2018","D20: Dublin 20","Number","75"
"New Dwelling Completions","2018","D22: Dublin 22","Number","156"
"New Dwelling Completions","2018","D24: Dublin 24","Number","633"
"New Dwelling Completions","2018","D6W: Dublin 6W","Number","79"
"New Dwelling Completions","2018","E21: Cahir","Number","23"
"New Dwelling Completions","2018","E25: Cashel","Number","10"
"New Dwelling Completions","2018","E32: Carrick-on-Suir","Number","24"
"New Dwelling Completions","2018","E34: Tipperary","Number","19"
"New Dwelling Completions","2018","E41: Thurles","Number","60"
"New Dwelling Completions","2018","E45: Nenagh","Number","24"
"New Dwelling Completions","2018","E53: Roscrea","Number","19"
"New Dwelling Completions","2018","E91: Clonmel","Number","36"
"New Dwelling Completions","2018","F12: Claremorris","Number","65"
"New Dwelling Completions","2018","F23: Castlebar","Number","45"
"New Dwelling Completions","2018","F26: Ballina","Number","84"
"New Dwelling Completions","2018","F28: Westport","Number","97"
"New Dwelling Completions","2018","F31: Ballinrobe","Number","17"
"New Dwelling Completions","2018","F35: Ballyhaunis","Number","8"
"New Dwelling Completions","2018","F42: Roscommon","Number","57"
"New Dwelling Completions","2018","F45: Castlerea","Number","52"
"New Dwelling Completions","2018","F52: Boyle","Number","19"
"New Dwelling Completions","2018","F56: Ballymote","Number","17"
"New Dwelling Completions","2018","F91: Sligo","Number","164"
"New Dwelling Completions","2018","F92: Letterkenny","Number","191"
"New Dwelling Completions","2018","F93: Lifford","Number","144"
"New Dwelling Completions","2018","F94: Donegal","Number","95"
"New Dwelling Completions","2018","H12: Cavan","Number","64"
"New Dwelling Completions","2018","H14: Belturbet","Number","22"
"New Dwelling Completions","2018","H16: Cootehill","Number","6"
"New Dwelling Completions","2018","H18: Monaghan","Number","58"
"New Dwelling Completions","2018","H23: Clones","Number","9"
"New Dwelling Completions","2018","H53: Ballinasloe","Number","64"
"New Dwelling Completions","2018","H54: Tuam","Number","70"
"New Dwelling Completions","2018","H62: Loughrea","Number","47"
"New Dwelling Completions","2018","H65: Athenry","Number","47"
"New Dwelling Completions","2018","H71: Clifden","Number","16"
"New Dwelling Completions","2018","H91: Galway","Number","429"
"New Dwelling Completions","2018","K32: Balbriggan","Number","221"
"New Dwelling Completions","2018","K34: Skerries","Number","79"
"New Dwelling Completions","2018","K36: Malahide","Number","310"
"New Dwelling Completions","2018","K45: Lusk","Number","118"
"New Dwelling Completions","2018","K56: Rush","Number","33"
"New Dwelling Completions","2018","K67: Swords","Number","322"
"New Dwelling Completions","2018","K78: Lucan","Number","502"
"New Dwelling Completions","2018","N37: Athlone","Number","82"
"New Dwelling Completions","2018","N39: Longford","Number","71"
"New Dwelling Completions","2018","N41: Carrick-on-Shannon","Number","33"
"New Dwelling Completions","2018","N91: Mullingar","Number","120"
"New Dwelling Completions","2018","P12: Macroom","Number","67"
"New Dwelling Completions","2018","P14: Crookstown","Number","8"
"New Dwelling Completions","2018","P17: Kinsale","Number","100"
"New Dwelling Completions","2018","P24: Cobh","Number","27"
"New Dwelling Completions","2018","P25: Midleton","Number","101"
"New Dwelling Completions","2018","P31: Ballincollig","Number","109"
"New Dwelling Completions","2018","P32: Rylane","Number","16"
"New Dwelling Completions","2018","P36: Youghal","Number","33"
"New Dwelling Completions","2018","P43: Carrigaline","Number","166"
"New Dwelling Completions","2018","P47: Dunmanway","Number","36"
"New Dwelling Completions","2018","P51: Mallow","Number","154"
"New Dwelling Completions","2018","P56: Charleville","Number","29"
"New Dwelling Completions","2018","P61: Fermoy","Number","24"
"New Dwelling Completions","2018","P67: Mitchelstown","Number","17"
"New Dwelling Completions","2018","P72: Bandon","Number","81"
"New Dwelling Completions","2018","P75: Bantry","Number","37"
"New Dwelling Completions","2018","P81: Skibbereen","Number","33"
"New Dwelling Completions","2018","P85: Clonakilty","Number","33"
"New Dwelling Completions","2018","R14: Athy","Number","37"
"New Dwelling Completions","2018","R21: Mhuine Bheag","Number","31"
"New Dwelling Completions","2018","R32: Portlaoise","Number","217"
"New Dwelling Completions","2018","R35: Tullamore","Number","55"
"New Dwelling Completions","2018","R42: Birr","Number","28"
"New Dwelling Completions","2018","R45: Edenderry","Number","16"
"New Dwelling Completions","2018","R51: Kildare","Number","113"
"New Dwelling Completions","2018","R56: Curragh","Number","26"
"New Dwelling Completions","2018","R93: Carlow","Number","199"
"New Dwelling Completions","2018","R95: Kilkenny","Number","174"
"New Dwelling Completions","2018","T12: Cork Southside","Number","326"
"New Dwelling Completions","2018","T23: Cork Northside","Number","191"
"New Dwelling Completions","2018","T34: Carrignavar","Number","8"
"New Dwelling Completions","2018","T45: Glanmire","Number","109"
"New Dwelling Completions","2018","T56: Watergrasshill","Number","83"
"New Dwelling Completions","2018","V14: Shannon","Number","8"
"New Dwelling Completions","2018","V15: Kilrush","Number","26"
"New Dwelling Completions","2018","V23: Caherciveen","Number","17"
"New Dwelling Completions","2018","V31: Listowel","Number","24"
"New Dwelling Completions","2018","V35: Kilmallock","Number","50"
"New Dwelling Completions","2018","V42: Newcastle West","Number","24"
"New Dwelling Completions","2018","V92: Tralee","Number","136"
"New Dwelling Completions","2018","V93: Killarney","Number","197"
"New Dwelling Completions","2018","V94: Limerick","Number","479"
"New Dwelling Completions","2018","V95: Ennis","Number","163"
"New Dwelling Completions","2018","W12: Newbridge","Number","97"
"New Dwelling Completions","2018","W23: Celbridge","Number","372"
"New Dwelling Completions","2018","W34: Monasterevin","Number","74"
"New Dwelling Completions","2018","W91: Naas","Number","605"
"New Dwelling Completions","2018","X35: Dungarvan","Number","109"
"New Dwelling Completions","2018","X42: Kilmacthomas","Number","16"
"New Dwelling Completions","2018","X91: Waterford","Number","261"
"New Dwelling Completions","2018","Y14: Arklow","Number","58"
"New Dwelling Completions","2018","Y21: Enniscorthy","Number","154"
"New Dwelling Completions","2018","Y25: Gorey","Number","145"
"New Dwelling Completions","2018","Y34: New Ross","Number","32"
"New Dwelling Completions","2018","Y35: Wexford","Number","162"
"New Dwelling Completions","2019","All","Number","21034"
"New Dwelling Completions","2019","A41: Ballyboughal","Number","48"
"New Dwelling Completions","2019","A42: Garristown","Number","12"
"New Dwelling Completions","2019","A45: Oldtown","Number","5"
"New Dwelling Completions","2019","A63: Greystones","Number","469"
"New Dwelling Completions","2019","A67: Wicklow","Number","453"
"New Dwelling Completions","2019","A75: Castleblaney","Number","77"
"New Dwelling Completions","2019","A81: Carrickmacross","Number","84"
"New Dwelling Completions","2019","A82: Kells","Number","113"
"New Dwelling Completions","2019","A83: Enfield","Number","53"
"New Dwelling Completions","2019","A84: Ashbourne","Number","169"
"New Dwelling Completions","2019","A85: Dunshaughlin","Number","478"
"New Dwelling Completions","2019","A86: Dunboyne","Number","38"
"New Dwelling Completions","2019","A91: Dundalk","Number","433"
"New Dwelling Completions","2019","A92: Drogheda","Number","536"
"New Dwelling Completions","2019","A94: Blackrock","Number","47"
"New Dwelling Completions","2019","A96: Glenageary","Number","358"
"New Dwelling Completions","2019","A98: Bray","Number","74"
"New Dwelling Completions","2019","C15: Navan","Number","491"
"New Dwelling Completions","2019","D01: Dublin 1","Number","151"
"New Dwelling Completions","2019","D02: Dublin 2","Number","147"
"New Dwelling Completions","2019","D03: Dublin 3","Number","73"
"New Dwelling Completions","2019","D04: Dublin 4","Number","124"
"New Dwelling Completions","2019","D05: Dublin 5","Number","31"
"New Dwelling Completions","2019","D06: Dublin 6","Number","61"
"New Dwelling Completions","2019","D07: Dublin 7","Number","40"
"New Dwelling Completions","2019","D08: Dublin 8","Number","260"
"New Dwelling Completions","2019","D09: Dublin 9","Number","399"
"New Dwelling Completions","2019","D10: Dublin 10","Number","19"
"New Dwelling Completions","2019","D11: Dublin 11","Number","93"
"New Dwelling Completions","2019","D12: Dublin 12","Number","171"
"New Dwelling Completions","2019","D13: Dublin 13","Number","401"
"New Dwelling Completions","2019","D14: Dublin 14","Number","255"
"New Dwelling Completions","2019","D15: Dublin 15","Number","745"
"New Dwelling Completions","2019","D16: Dublin 16","Number","350"
"New Dwelling Completions","2019","D17: Dublin 17","Number","27"
"New Dwelling Completions","2019","D18: Dublin 18","Number","343"
"New Dwelling Completions","2019","D20: Dublin 20","Number","14"
"New Dwelling Completions","2019","D22: Dublin 22","Number","154"
"New Dwelling Completions","2019","D24: Dublin 24","Number","627"
"New Dwelling Completions","2019","D6W: Dublin 6W","Number","219"
"New Dwelling Completions","2019","E21: Cahir","Number","22"
"New Dwelling Completions","2019","E25: Cashel","Number","24"
"New Dwelling Completions","2019","E32: Carrick-on-Suir","Number","15"
"New Dwelling Completions","2019","E34: Tipperary","Number","56"
"New Dwelling Completions","2019","E41: Thurles","Number","72"
"New Dwelling Completions","2019","E45: Nenagh","Number","44"
"New Dwelling Completions","2019","E53: Roscrea","Number","18"
"New Dwelling Completions","2019","E91: Clonmel","Number","62"
"New Dwelling Completions","2019","F12: Claremorris","Number","51"
"New Dwelling Completions","2019","F23: Castlebar","Number","92"
"New Dwelling Completions","2019","F26: Ballina","Number","122"
"New Dwelling Completions","2019","F28: Westport","Number","131"
"New Dwelling Completions","2019","F31: Ballinrobe","Number","32"
"New Dwelling Completions","2019","F35: Ballyhaunis","Number","14"
"New Dwelling Completions","2019","F42: Roscommon","Number","56"
